"audience_group","stimulus_file","condition","target_v","target_a","persona_sd_v","persona_sd_a","perceived_v","perceived_a","alignment_distance","respondents"
"Generic-listener control","B13_run0_nonopt.wav","non_optimised",0.172,-0.267,NA,NA,0,0,0.317605100714708,1
"Generic-listener control","B13_run0_opt.wav","optimised",0.172,-0.267,NA,NA,0,0.583333333333333,0.867846718511958,1
"Generic-listener control","B13_run1_nonopt.wav","non_optimised",0.172,-0.267,NA,NA,0,0,0.317605100714708,1
"Generic-listener control","B13_run1_opt.wav","optimised",0.172,-0.267,NA,NA,0,0,0.317605100714708,1
"Generic-listener control","B13_run2_nonopt.wav","non_optimised",0.172,-0.267,NA,NA,-0.166666666666667,-0.0833333333333333,0.413106661781676,1
"Generic-listener control","B13_run2_opt.wav","optimised",0.172,-0.267,NA,NA,-0.0833333333333333,0.166666666666667,0.503545841884854,1
"Generic-listener control","B14_run0_nonopt.wav","non_optimised",0.234,-0.17,NA,NA,0,0.0833333333333333,0.353084598159966,1
"Generic-listener control","B14_run0_opt.wav","optimised",0.234,-0.17,NA,NA,-0.0833333333333333,0.166666666666667,0.46833315180504,1
"Generic-listener control","B14_run1_nonopt.wav","non_optimised",0.234,-0.17,NA,NA,0,0,0.289233469709161,1
"Generic-listener control","B14_run1_opt.wav","optimised",0.234,-0.17,NA,NA,0,0,0.289233469709161,1
"Generic-listener control","B14_run2_nonopt.wav","non_optimised",0.234,-0.17,NA,NA,0,0,0.289233469709161,1
"Generic-listener control","B14_run2_opt.wav","optimised",0.234,-0.17,NA,NA,0.166666666666667,0.666666666666667,0.872220747584803,1
"Generic-listener control","B15_run0_nonopt.wav","non_optimised",0.125,-0.365,NA,NA,0,0,0.385810834477208,1
"Generic-listener control","B15_run0_opt.wav","optimised",0.125,-0.365,NA,NA,-0.0833333333333333,0,0.431642820778885,1
"Generic-listener control","B15_run1_nonopt.wav","non_optimised",0.125,-0.365,NA,NA,-0.25,-0.166666666666667,0.435927046560148,1
"Generic-listener control","B15_run1_opt.wav","optimised",0.125,-0.365,NA,NA,0,0,0.385810834477208,1
"Generic-listener control","B15_run2_nonopt.wav","non_optimised",0.125,-0.365,NA,NA,-0.0833333333333333,0,0.431642820778885,1
"Generic-listener control","B15_run2_opt.wav","optimised",0.125,-0.365,NA,NA,0,0,0.385810834477208,1
"Generic-listener control","B16_run0_nonopt.wav","non_optimised",0.187,-0.292,NA,NA,0,0,0.346746304955078,1
"Generic-listener control","B16_run0_opt.wav","optimised",0.187,-0.292,NA,NA,0,0,0.346746304955078,1
"Generic-listener control","B16_run1_nonopt.wav","non_optimised",0.187,-0.292,NA,NA,-0.166666666666667,0.416666666666667,0.793744911279634,1
"Generic-listener control","B16_run1_opt.wav","optimised",0.187,-0.292,NA,NA,0,0,0.346746304955078,1
"Generic-listener control","B16_run2_nonopt.wav","non_optimised",0.187,-0.292,NA,NA,-0.0833333333333333,0.166666666666667,0.532684978338503,1
"Generic-listener control","B16_run2_opt.wav","optimised",0.187,-0.292,NA,NA,-0.166666666666667,0.5,0.874300548896899,1
"Neutral control","B01_run0_nonopt.wav","non_optimised",0.172,0.175,NA,NA,0,0.5,0.367707764399938,1
"Neutral control","B01_run0_opt.wav","optimised",0.172,0.175,NA,NA,0,0.5,0.367707764399938,1
"Neutral control","B01_run1_nonopt.wav","non_optimised",0.172,0.175,NA,NA,0,0,0.245375222873052,1
"Neutral control","B01_run1_opt.wav","optimised",0.172,0.175,NA,NA,0,0,0.245375222873052,1
"Neutral control","B01_run2_nonopt.wav","non_optimised",0.172,0.175,NA,NA,0,0.5,0.367707764399938,1
"Neutral control","B01_run2_opt.wav","optimised",0.172,0.175,NA,NA,0,0.5,0.367707764399938,1
"Neutral control","B02_run0_nonopt.wav","non_optimised",0.234,0.121,NA,NA,0,0.583333333333333,0.536478213112587,1
"Neutral control","B02_run0_opt.wav","optimised",0.234,0.121,NA,NA,0,0,0.26343310346272,1
"Neutral control","B02_run1_nonopt.wav","non_optimised",0.234,0.121,NA,NA,0,0.416666666666667,0.386012577826127,1
"Neutral control","B02_run1_opt.wav","optimised",0.234,0.121,NA,NA,0,0.583333333333333,0.520650599057488,1
"Neutral control","B02_run2_nonopt.wav","non_optimised",0.234,0.121,NA,NA,0,0.833333333333333,0.750615374312991,1
"Neutral control","B02_run2_opt.wav","optimised",0.234,0.121,NA,NA,-0.0833333333333333,0.75,0.711964325151285,1
"Neutral control","B03_run0_nonopt.wav","non_optimised",0.141,0.215,NA,NA,0,0.166666666666667,0.182556318240204,1
"Neutral control","B03_run0_opt.wav","optimised",0.141,0.215,NA,NA,0,0,0.257110871026489,1
"Neutral control","B03_run1_nonopt.wav","non_optimised",0.141,0.215,NA,NA,0,0.666666666666667,0.474836212347129,1
"Neutral control","B03_run1_opt.wav","optimised",0.141,0.215,NA,NA,0,0.583333333333333,0.396403954600398,1
"Neutral control","B03_run2_nonopt.wav","non_optimised",0.141,0.215,NA,NA,0,0.583333333333333,0.396403954600398,1
"Neutral control","B03_run2_opt.wav","optimised",0.141,0.215,NA,NA,0.0833333333333333,0.75,0.550842594200589,1
"Neutral control","B04_run0_nonopt.wav","non_optimised",0.203,0.161,NA,NA,0,0.5,0.395132889038612,1
"Neutral control","B04_run0_opt.wav","optimised",0.203,0.161,NA,NA,0,0,0.259094577326504,1
"Neutral control","B04_run1_nonopt.wav","non_optimised",0.203,0.161,NA,NA,0,0.75,0.623000802567701,1
"Neutral control","B04_run1_opt.wav","optimised",0.203,0.161,NA,NA,0,0.75,0.623000802567701,1
"Neutral control","B04_run2_nonopt.wav","non_optimised",0.203,0.161,NA,NA,0,0.916666666666667,0.783139686705709,1
"Neutral control","B04_run2_opt.wav","optimised",0.203,0.161,NA,NA,0,0.583333333333333,0.471088860214975,1
"Neutral control","B05_run0_nonopt.wav","non_optimised",-0.171,0.175,NA,NA,0,0.416666666666667,0.30706884210631,1
"Neutral control","B05_run0_opt.wav","optimised",-0.171,0.175,NA,NA,0,0,0.244675295034051,1
"Neutral control","B05_run1_nonopt.wav","non_optimised",-0.171,0.175,NA,NA,0,0,0.244675295034051,1
"Neutral control","B05_run1_opt.wav","optimised",-0.171,0.175,NA,NA,0,0.75,0.599888322940195,1
"Neutral control","B05_run2_nonopt.wav","non_optimised",-0.171,0.175,NA,NA,-0.0833333333333333,0.666666666666667,0.515843657764546,1
"Neutral control","B05_run2_opt.wav","optimised",-0.171,0.175,NA,NA,0,0,0.244675295034051,1
"Neutral control","B06_run0_nonopt.wav","non_optimised",-0.233,0.121,NA,NA,0,0,0.262545234197843,1
"Neutral control","B06_run0_opt.wav","optimised",-0.233,0.121,NA,NA,0,0,0.262545234197843,1
"Neutral control","B06_run1_nonopt.wav","non_optimised",-0.233,0.121,NA,NA,0,0,0.262545234197843,1
"Neutral control","B06_run1_opt.wav","optimised",-0.233,0.121,NA,NA,0,0,0.262545234197843,1
"Neutral control","B06_run2_nonopt.wav","non_optimised",-0.233,0.121,NA,NA,0,0,0.262545234197843,1
"Neutral control","B06_run2_opt.wav","optimised",-0.233,0.121,NA,NA,0,0.5,0.444893245621913,1
"Neutral control","B07_run0_nonopt.wav","non_optimised",-0.14,0.215,NA,NA,0,0,0.25656383221335,1
"Neutral control","B07_run0_opt.wav","optimised",-0.14,0.215,NA,NA,0,1,0.797386355539145,1
"Neutral control","B07_run1_nonopt.wav","non_optimised",-0.14,0.215,NA,NA,0,0,0.25656383221335,1
"Neutral control","B07_run1_opt.wav","optimised",-0.14,0.215,NA,NA,0,0,0.25656383221335,1
"Neutral control","B07_run2_nonopt.wav","non_optimised",-0.14,0.215,NA,NA,0,0,0.25656383221335,1
"Neutral control","B07_run2_opt.wav","optimised",-0.14,0.215,NA,NA,0,0,0.25656383221335,1
"Neutral control","B08_run0_nonopt.wav","non_optimised",-0.202,0.161,NA,NA,0,0,0.25831182706179,1
"Neutral control","B08_run0_opt.wav","optimised",-0.202,0.161,NA,NA,0,0,0.25831182706179,1
"Neutral control","B08_run1_nonopt.wav","non_optimised",-0.202,0.161,NA,NA,0,0,0.25831182706179,1
"Neutral control","B08_run1_opt.wav","optimised",-0.202,0.161,NA,NA,-0.0833333333333333,0,0.228208876762565,1
"Neutral control","B08_run2_nonopt.wav","non_optimised",-0.202,0.161,NA,NA,0,0,0.25831182706179,1
"Neutral control","B08_run2_opt.wav","optimised",-0.202,0.161,NA,NA,0,0,0.25831182706179,1
"Neutral control","B09_run0_nonopt.wav","non_optimised",-0.171,-0.267,NA,NA,0,0,0.317064662174768,1
"Neutral control","B09_run0_opt.wav","optimised",-0.171,-0.267,NA,NA,0,0,0.317064662174768,1
"Neutral control","B09_run1_nonopt.wav","non_optimised",-0.171,-0.267,NA,NA,0,0,0.317064662174768,1
"Neutral control","B09_run1_opt.wav","optimised",-0.171,-0.267,NA,NA,0,0,0.317064662174768,1
"Neutral control","B09_run2_nonopt.wav","non_optimised",-0.171,-0.267,NA,NA,0,0,0.317064662174768,1
"Neutral control","B09_run2_opt.wav","optimised",-0.171,-0.267,NA,NA,0,0,0.317064662174768,1
"Neutral control","B10_run0_nonopt.wav","non_optimised",-0.233,-0.17,NA,NA,0,0,0.288425033587586,1
"Neutral control","B10_run0_opt.wav","optimised",-0.233,-0.17,NA,NA,0,0,0.288425033587586,1
"Neutral control","B10_run1_nonopt.wav","non_optimised",-0.233,-0.17,NA,NA,0,0,0.288425033587586,1
"Neutral control","B10_run1_opt.wav","optimised",-0.233,-0.17,NA,NA,0,0,0.288425033587586,1
"Neutral control","B10_run2_nonopt.wav","non_optimised",-0.233,-0.17,NA,NA,0,0,0.288425033587586,1
"Neutral control","B10_run2_opt.wav","optimised",-0.233,-0.17,NA,NA,0,0,0.288425033587586,1
"Neutral control","B11_run0_nonopt.wav","non_optimised",-0.124,-0.365,NA,NA,0,0,0.385488002407338,1
"Neutral control","B11_run0_opt.wav","optimised",-0.124,-0.365,NA,NA,0,0,0.385488002407338,1
"Neutral control","B11_run1_nonopt.wav","non_optimised",-0.124,-0.365,NA,NA,0,0,0.385488002407338,1
"Neutral control","B11_run1_opt.wav","optimised",-0.124,-0.365,NA,NA,0,0,0.385488002407338,1
"Neutral control","B11_run2_nonopt.wav","non_optimised",-0.124,-0.365,NA,NA,0,0,0.385488002407338,1
"Neutral control","B11_run2_opt.wav","optimised",-0.124,-0.365,NA,NA,0,0,0.385488002407338,1
"Neutral control","B12_run0_nonopt.wav","non_optimised",-0.187,-0.292,NA,NA,-0.0833333333333333,-0.0833333333333333,0.256403062231633,1
"Neutral control","B12_run0_opt.wav","optimised",-0.187,-0.292,NA,NA,0,0,0.346746304955078,1
"Neutral control","B12_run1_nonopt.wav","non_optimised",-0.187,-0.292,NA,NA,0,0,0.346746304955078,1
"Neutral control","B12_run1_opt.wav","optimised",-0.187,-0.292,NA,NA,0,0,0.346746304955078,1
"Neutral control","B12_run2_nonopt.wav","non_optimised",-0.187,-0.292,NA,NA,0,0,0.346746304955078,1
"Neutral control","B12_run2_opt.wav","optimised",-0.187,-0.292,NA,NA,-0.0833333333333333,-0.0833333333333333,0.256403062231633,1
"Neutral control","B13_run0_nonopt.wav","non_optimised",0.172,-0.267,NA,NA,0,0,0.317605100714708,1
"Neutral control","B13_run0_opt.wav","optimised",0.172,-0.267,NA,NA,0,0,0.317605100714708,1
"Neutral control","B13_run1_nonopt.wav","non_optimised",0.172,-0.267,NA,NA,0,0,0.317605100714708,1
"Neutral control","B13_run1_opt.wav","optimised",0.172,-0.267,NA,NA,0,0,0.317605100714708,1
"Neutral control","B13_run2_nonopt.wav","non_optimised",0.172,-0.267,NA,NA,0,0,0.317605100714708,1
"Neutral control","B13_run2_opt.wav","optimised",0.172,-0.267,NA,NA,0,0,0.317605100714708,1
"Neutral control","B14_run0_nonopt.wav","non_optimised",0.234,-0.17,NA,NA,0,0,0.289233469709161,1
"Neutral control","B14_run0_opt.wav","optimised",0.234,-0.17,NA,NA,-0.0833333333333333,0.166666666666667,0.46833315180504,1
"Neutral control","B14_run1_nonopt.wav","non_optimised",0.234,-0.17,NA,NA,0,0,0.289233469709161,1
"Neutral control","B14_run1_opt.wav","optimised",0.234,-0.17,NA,NA,0,0,0.289233469709161,1
"Neutral control","B14_run2_nonopt.wav","non_optimised",0.234,-0.17,NA,NA,0,0,0.289233469709161,1
"Neutral control","B14_run2_opt.wav","optimised",0.234,-0.17,NA,NA,0,0.166666666666667,0.429384731494043,1
"Neutral control","B15_run0_nonopt.wav","non_optimised",0.125,-0.365,NA,NA,0,0,0.385810834477208,1
"Neutral control","B15_run0_opt.wav","optimised",0.125,-0.365,NA,NA,0,0,0.385810834477208,1
"Neutral control","B15_run1_nonopt.wav","non_optimised",0.125,-0.365,NA,NA,0,0,0.385810834477208,1
"Neutral control","B15_run1_opt.wav","optimised",0.125,-0.365,NA,NA,0,0,0.385810834477208,1
"Neutral control","B15_run2_nonopt.wav","non_optimised",0.125,-0.365,NA,NA,0,0,0.385810834477208,1
"Neutral control","B15_run2_opt.wav","optimised",0.125,-0.365,NA,NA,0,0,0.385810834477208,1
"Neutral control","B16_run0_nonopt.wav","non_optimised",0.187,-0.292,NA,NA,0,0,0.346746304955078,1
"Neutral control","B16_run0_opt.wav","optimised",0.187,-0.292,NA,NA,0,0,0.346746304955078,1
"Neutral control","B16_run1_nonopt.wav","non_optimised",0.187,-0.292,NA,NA,0,0,0.346746304955078,1
"Neutral control","B16_run1_opt.wav","optimised",0.187,-0.292,NA,NA,0,0,0.346746304955078,1
"Neutral control","B16_run2_nonopt.wav","non_optimised",0.187,-0.292,NA,NA,0,0,0.346746304955078,1
"Neutral control","B16_run2_opt.wav","optimised",0.187,-0.292,NA,NA,0,0,0.346746304955078,1
"OCEAN audience","B01_run0_nonopt.wav","non_optimised",0.172,0.175,0.0773652574772173,0.0728926611790476,-0.0078125,0.549479166666667,0.425643536451959,32
"OCEAN audience","B01_run0_opt.wav","optimised",0.172,0.175,0.105302942396779,0.121478164475944,-0.0104166666666667,0.630208333333333,0.50717202012614,32
"OCEAN audience","B01_run1_nonopt.wav","non_optimised",0.172,0.175,0.059868434008925,0.153526898335584,0,0.111979166666667,0.270056464345155,32
"OCEAN audience","B01_run1_opt.wav","optimised",0.172,0.175,0.0579069478191932,0.118679827408417,0.00260416666666667,0.0677083333333333,0.256499167081775,32
"OCEAN audience","B01_run2_nonopt.wav","non_optimised",0.172,0.175,0.108156130921525,0.107376617115766,-0.0703125,0.6015625,0.497083735595897,32
"OCEAN audience","B01_run2_opt.wav","optimised",0.172,0.175,0.115934723940042,0.149577511343255,-0.0833333333333333,0.578125,0.49104540647373,32
"OCEAN audience","B02_run0_nonopt.wav","non_optimised",0.234,0.121,0.133869888150416,0.0875527874564702,-0.0208333333333333,0.6796875,0.629082134180182,32
"OCEAN audience","B02_run0_opt.wav","optimised",0.234,0.121,0.105302942396779,0.242956328951888,-0.09375,0.364583333333333,0.467018196862954,32
"OCEAN audience","B02_run1_nonopt.wav","non_optimised",0.234,0.121,0.105701064581978,0.112968211264375,-0.078125,0.580729166666667,0.561859275280931,32
"OCEAN audience","B02_run1_opt.wav","optimised",0.234,0.121,0.126558386089606,0.0614836721047456,0.0104166666666667,0.723958333333333,0.659697657671959,32
"OCEAN audience","B02_run2_nonopt.wav","non_optimised",0.234,0.121,0.106591402798432,0.0819782294729941,-0.0078125,0.75,0.684601766508191,32
"OCEAN audience","B02_run2_opt.wav","optimised",0.234,0.121,0.109953507199724,0.152635156629875,-0.127604166666667,0.604166666666667,0.615837666116123,32
"OCEAN audience","B03_run0_nonopt.wav","non_optimised",0.141,0.215,0.094512283247141,0.17323660323074,-0.046875,0.2109375,0.277501694706367,32
"OCEAN audience","B03_run0_opt.wav","optimised",0.141,0.215,0.105003360161289,0.189449985597811,-0.0546875,0.236979166666667,0.29187599260384,32
"OCEAN audience","B03_run1_nonopt.wav","non_optimised",0.141,0.215,0.110714879299071,0.0969979492078963,-0.0911458333333333,0.708333333333333,0.55402212144829,32
"OCEAN audience","B03_run1_opt.wav","optimised",0.141,0.215,0.0981102239291427,0.11973686801785,-0.0807291666666667,0.708333333333333,0.54999203517686,32
"OCEAN audience","B03_run2_nonopt.wav","non_optimised",0.141,0.215,0.124213475336604,0.108833625615047,-0.0260416666666667,0.682291666666667,0.513667494467429,32
"OCEAN audience","B03_run2_opt.wav","optimised",0.141,0.215,0.0836268352901457,0.107409209806489,-0.0286458333333333,0.65625,0.482712713631969,32
"OCEAN audience","B04_run0_nonopt.wav","non_optimised",0.203,0.161,0.10095866644201,0.119268228771393,-0.0729166666666667,0.552083333333333,0.485404913938983,32
"OCEAN audience","B04_run0_opt.wav","optimised",0.203,0.161,0.096091575852521,0.198561132393757,-0.0546875,0.229166666666667,0.336094750776359,32
"OCEAN audience","B04_run1_nonopt.wav","non_optimised",0.203,0.161,0.115813895638386,0.107115518572224,-0.0885416666666667,0.721354166666667,0.638652523624009,32
"OCEAN audience","B04_run1_opt.wav","optimised",0.203,0.161,0.154730514954435,0.104468648295565,0.015625,0.658854166666667,0.554672200355789,32
"OCEAN audience","B04_run2_nonopt.wav","non_optimised",0.203,0.161,0.12271089482877,0.0805569073548671,-0.0286458333333333,0.747395833333333,0.641586625471643,32
"OCEAN audience","B04_run2_opt.wav","optimised",0.203,0.161,0.117821426068692,0.109442983224421,-0.127604166666667,0.6484375,0.595726181901704,32
"OCEAN audience","B05_run0_nonopt.wav","non_optimised",-0.171,0.175,0.130023390162106,0.127000127000191,-0.0651041666666667,0.645833333333333,0.514203809917677,32
"OCEAN audience","B05_run0_opt.wav","optimised",-0.171,0.175,0.101201064549489,0.134677989449999,-0.1171875,0.6640625,0.515074013172947,32
"OCEAN audience","B05_run1_nonopt.wav","non_optimised",-0.171,0.175,0.113493719530024,0.110207882339464,-0.114583333333333,0.653645833333333,0.504838178893435,32
"OCEAN audience","B05_run1_opt.wav","optimised",-0.171,0.175,0.0972502199829818,0.0702019615978527,-0.0703125,0.729166666666667,0.575615976546783,32
"OCEAN audience","B05_run2_nonopt.wav","non_optimised",-0.171,0.175,0.125642390556132,0.115450651997271,-0.106770833333333,0.65625,0.508627576919294,32
"OCEAN audience","B05_run2_opt.wav","optimised",-0.171,0.175,0.107896918731188,0.138369886024463,-0.127604166666667,0.565104166666667,0.43001355988909,32
"OCEAN audience","B06_run0_nonopt.wav","non_optimised",-0.233,0.121,0.124971995070781,0.286288745010546,-0.0494791666666667,0.328125,0.400733072425564,32
"OCEAN audience","B06_run0_opt.wav","optimised",-0.233,0.121,0.107799553466601,0.148826803912212,-0.0885416666666667,0.0989583333333333,0.24592505124722,32
"OCEAN audience","B06_run1_nonopt.wav","non_optimised",-0.233,0.121,0.122396727004287,0.263616098864704,-0.0572916666666667,0.3203125,0.390057834431554,32
