"audience_group","respondent_id","stimulus_file","condition","target_v","target_a","perceived_v","perceived_a","alignment_distance","repetitions"
"Generic-listener control","generic","B06_run0_nonopt.wav","non_optimised",-0.134,0.056,0,1,0.953463161322974,3
"Generic-listener control","generic","B06_run0_opt.wav","optimised",-0.134,0.056,0,1,0.953463161322974,3
"Generic-listener control","generic","B06_run1_nonopt.wav","non_optimised",-0.134,0.056,0,1,0.953463161322974,3
"Generic-listener control","generic","B06_run1_opt.wav","optimised",-0.134,0.056,0,0,0.145230850717057,3
"Generic-listener control","generic","B06_run2_nonopt.wav","non_optimised",-0.134,0.056,0.5,1,1.1371420315862,3
"Generic-listener control","generic","B06_run2_opt.wav","optimised",-0.134,0.056,0,0,0.145230850717057,3
"Generic-listener control","generic","B07_run0_nonopt.wav","non_optimised",-0.08,0.099,0,1,0.904544636820096,3
"Generic-listener control","generic","B07_run0_opt.wav","optimised",-0.08,0.099,0.5,1,1.07154141310544,3
"Generic-listener control","generic","B07_run1_nonopt.wav","non_optimised",-0.08,0.099,0.5,1,1.07154141310544,3
"Generic-listener control","generic","B07_run1_opt.wav","optimised",-0.08,0.099,0.5,1,1.07154141310544,3
"Generic-listener control","generic","B07_run2_nonopt.wav","non_optimised",-0.08,0.099,0.5,1,1.07154141310544,3
"Generic-listener control","generic","B07_run2_opt.wav","optimised",-0.08,0.099,1,1,1.40648533586383,3
"Generic-listener control","generic","B08_run0_nonopt.wav","non_optimised",-0.116,0.074,0.5,1,1.11217444674835,3
"Generic-listener control","generic","B08_run0_opt.wav","optimised",-0.116,0.074,0.5,1,1.11217444674835,3
"Generic-listener control","generic","B08_run1_nonopt.wav","non_optimised",-0.116,0.074,0.5,1,1.11217444674835,3
"Generic-listener control","generic","B08_run1_opt.wav","optimised",-0.116,0.074,0.5,0.833333333333333,0.991100943555023,3
"Generic-listener control","generic","B08_run2_nonopt.wav","non_optimised",-0.116,0.074,0.5,1,1.11217444674835,3
"Generic-listener control","generic","B08_run2_opt.wav","optimised",-0.116,0.074,0.5,1,1.11217444674835,3
"Generic-listener control","generic","B09_run0_nonopt.wav","non_optimised",-0.098,-0.191,0.5,0.5,0.913829852871967,3
"Generic-listener control","generic","B09_run0_opt.wav","optimised",-0.098,-0.191,0,1,1.19502510433882,3
"Generic-listener control","generic","B09_run1_nonopt.wav","non_optimised",-0.098,-0.191,0.5,1,1.33269839048451,3
"Generic-listener control","generic","B09_run1_opt.wav","optimised",-0.098,-0.191,0.5,1,1.33269839048451,3
"Generic-listener control","generic","B09_run2_nonopt.wav","non_optimised",-0.098,-0.191,0.5,0.833333333333333,1.19307554461366,3
"Generic-listener control","generic","B09_run2_opt.wav","optimised",-0.098,-0.191,0.5,0.5,0.913829852871967,3
"Generic-listener control","generic","B10_run0_nonopt.wav","non_optimised",-0.134,-0.122,0.5,0.5,0.888166651028961,3
"Generic-listener control","generic","B10_run0_opt.wav","optimised",-0.134,-0.122,0.5,0.5,0.888166651028961,3
"Generic-listener control","generic","B10_run1_nonopt.wav","non_optimised",-0.134,-0.122,0.5,0.5,0.888166651028961,3
"Generic-listener control","generic","B10_run1_opt.wav","optimised",-0.134,-0.122,0.5,0.5,0.888166651028961,3
"Generic-listener control","generic","B10_run2_nonopt.wav","non_optimised",-0.134,-0.122,0.5,1,1.2887358146649,3
"Generic-listener control","generic","B10_run2_opt.wav","optimised",-0.134,-0.122,0.5,1,1.2887358146649,3
"Generic-listener control","generic","B11_run0_nonopt.wav","non_optimised",-0.071,-0.261,0.666666666666667,1,1.47431571099754,3
"Generic-listener control","generic","B11_run0_opt.wav","optimised",-0.071,-0.261,0,1,1.26299722881723,3
"Generic-listener control","generic","B11_run1_nonopt.wav","non_optimised",-0.071,-0.261,0.666666666666667,1,1.47431571099754,3
"Generic-listener control","generic","B11_run1_opt.wav","optimised",-0.071,-0.261,0,1,1.26299722881723,3
"Generic-listener control","generic","B11_run2_nonopt.wav","non_optimised",-0.071,-0.261,0.5,1,1.38425503430546,3
"Generic-listener control","generic","B11_run2_opt.wav","optimised",-0.071,-0.261,0.5,1,1.38425503430546,3
"Generic-listener control","generic","B12_run0_nonopt.wav","non_optimised",-0.107,-0.208,0,0,0.233908101612578,3
"Generic-listener control","generic","B12_run0_opt.wav","optimised",-0.107,-0.208,0,0.333333333333333,0.560181923040619,3
"Generic-listener control","generic","B12_run1_nonopt.wav","non_optimised",-0.107,-0.208,0.166666666666667,0.5,0.793073903993089,3
"Generic-listener control","generic","B12_run1_opt.wav","optimised",-0.107,-0.208,0,0,0.233908101612578,3
"Generic-listener control","generic","B12_run2_nonopt.wav","non_optimised",-0.107,-0.208,0,0,0.233908101612578,3
"Generic-listener control","generic","B12_run2_opt.wav","optimised",-0.107,-0.208,0,0,0.233908101612578,3
"Generic-listener control","generic","B13_run0_nonopt.wav","non_optimised",0.075,-0.191,0,0,0.205197465871292,3
"Generic-listener control","generic","B13_run0_opt.wav","optimised",0.075,-0.191,0.5,1,1.26455763016163,3
"Generic-listener control","generic","B13_run1_nonopt.wav","non_optimised",0.075,-0.191,0.5,1,1.26455763016163,3
"Generic-listener control","generic","B13_run1_opt.wav","optimised",0.075,-0.191,1,1,1.50801392566514,3
"Generic-listener control","generic","B13_run2_nonopt.wav","non_optimised",0.075,-0.191,0.5,1,1.26455763016163,3
"Generic-listener control","generic","B13_run2_opt.wav","optimised",0.075,-0.191,0.5,1,1.26455763016163,3
"Generic-listener control","generic","B14_run0_nonopt.wav","non_optimised",0.102,-0.122,0.5,1,1.19049905501852,3
"Generic-listener control","generic","B14_run0_opt.wav","optimised",0.102,-0.122,1,1,1.43711099084239,3
"Generic-listener control","generic","B14_run1_nonopt.wav","non_optimised",0.102,-0.122,0.5,1,1.19049905501852,3
"Generic-listener control","generic","B14_run1_opt.wav","optimised",0.102,-0.122,0.5,1,1.19049905501852,3
"Generic-listener control","generic","B14_run2_nonopt.wav","non_optimised",0.102,-0.122,0.5,1,1.19049905501852,3
"Generic-listener control","generic","B14_run2_opt.wav","optimised",0.102,-0.122,1,1,1.43711099084239,3
"Generic-listener control","generic","B15_run0_nonopt.wav","non_optimised",0.054,-0.261,0,0,0.266527672109295,3
"Generic-listener control","generic","B15_run0_opt.wav","optimised",0.054,-0.261,0.166666666666667,1,1.28728675628756,3
"Generic-listener control","generic","B15_run1_nonopt.wav","non_optimised",0.054,-0.261,0.5,1,1.33754887761158,3
"Generic-listener control","generic","B15_run1_opt.wav","optimised",0.054,-0.261,1,1,1.57640001268714,3
"Generic-listener control","generic","B15_run2_nonopt.wav","non_optimised",0.054,-0.261,0,0,0.266527672109295,3
"Generic-listener control","generic","B15_run2_opt.wav","optimised",0.054,-0.261,1,1,1.57640001268714,3
"Generic-listener control","generic","B16_run0_nonopt.wav","non_optimised",0.082,-0.208,0.5,1,1.27827540068641,3
"Generic-listener control","generic","B16_run0_opt.wav","optimised",0.082,-0.208,0.5,1,1.27827540068641,3
"Generic-listener control","generic","B16_run1_nonopt.wav","non_optimised",0.082,-0.208,0.5,1,1.27827540068641,3
"Generic-listener control","generic","B16_run1_opt.wav","optimised",0.082,-0.208,0.833333333333333,1,1.43757871451775,3
"Generic-listener control","generic","B16_run2_nonopt.wav","non_optimised",0.082,-0.208,0.5,1,1.27827540068641,3
"Generic-listener control","generic","B16_run2_opt.wav","optimised",0.082,-0.208,1,1,1.51723037143342,3
"Neutral control","neutral","B01_run0_nonopt.wav","non_optimised",0.075,0.08,0.5,1,1.01342241932967,3
"Neutral control","neutral","B01_run0_opt.wav","optimised",0.075,0.08,1,1,1.30461680197673,3
"Neutral control","neutral","B01_run1_nonopt.wav","non_optimised",0.075,0.08,0.5,1,1.01342241932967,3
"Neutral control","neutral","B01_run1_opt.wav","optimised",0.075,0.08,1,1,1.30461680197673,3
"Neutral control","neutral","B01_run2_nonopt.wav","non_optimised",0.075,0.08,0.666666666666667,1,1.11048721354536,3
"Neutral control","neutral","B01_run2_opt.wav","optimised",0.075,0.08,1,1,1.30461680197673,3
"Neutral control","neutral","B02_run0_nonopt.wav","non_optimised",0.102,0.056,0.5,1,1.02447059499041,3
"Neutral control","neutral","B02_run0_opt.wav","optimised",0.102,0.056,1,1,1.30289677258024,3
"Neutral control","neutral","B02_run1_nonopt.wav","non_optimised",0.102,0.056,1,1,1.30289677258024,3
"Neutral control","neutral","B02_run1_opt.wav","optimised",0.102,0.056,1,1,1.30289677258024,3
"Neutral control","neutral","B02_run2_nonopt.wav","non_optimised",0.102,0.056,0.666666666666667,1,1.11727932085368,3
"Neutral control","neutral","B02_run2_opt.wav","optimised",0.102,0.056,1,1,1.30289677258024,3
"Neutral control","neutral","B03_run0_nonopt.wav","non_optimised",0.061,0.099,0,0,0.116284134773408,3
"Neutral control","neutral","B03_run0_opt.wav","optimised",0.061,0.099,0,0,0.116284134773408,3
"Neutral control","neutral","B03_run1_nonopt.wav","non_optimised",0.061,0.099,0,0,0.116284134773408,3
"Neutral control","neutral","B03_run1_opt.wav","optimised",0.061,0.099,0,0,0.116284134773408,3
"Neutral control","neutral","B03_run2_nonopt.wav","non_optimised",0.061,0.099,0,0,0.116284134773408,3
"Neutral control","neutral","B03_run2_opt.wav","optimised",0.061,0.099,0,0,0.116284134773408,3
"Neutral control","neutral","B04_run0_nonopt.wav","non_optimised",0.089,0.074,1,1,1.29899846035321,3
"Neutral control","neutral","B04_run0_opt.wav","optimised",0.089,0.074,1,1,1.29899846035321,3
"Neutral control","neutral","B04_run1_nonopt.wav","non_optimised",0.089,0.074,0.833333333333333,1,1.20370315049161,3
"Neutral control","neutral","B04_run1_opt.wav","optimised",0.089,0.074,1,1,1.29899846035321,3
"Neutral control","neutral","B04_run2_nonopt.wav","non_optimised",0.089,0.074,1,1,1.29899846035321,3
"Neutral control","neutral","B04_run2_opt.wav","optimised",0.089,0.074,1,1,1.29899846035321,3
"Neutral control","neutral","B05_run0_nonopt.wav","non_optimised",-0.098,0.08,1,1,1.43248176253661,3
"Neutral control","neutral","B05_run0_opt.wav","optimised",-0.098,0.08,1,1,1.43248176253661,3
"Neutral control","neutral","B05_run1_nonopt.wav","non_optimised",-0.098,0.08,0.5,1,1.09727116065264,3
"Neutral control","neutral","B05_run1_opt.wav","optimised",-0.098,0.08,0.5,1,1.09727116065264,3
"Neutral control","neutral","B05_run2_nonopt.wav","non_optimised",-0.098,0.08,1,1,1.43248176253661,3
"Neutral control","neutral","B05_run2_opt.wav","optimised",-0.098,0.08,0.833333333333333,1,1.32074489524196,3
"Neutral control","neutral","B06_run0_nonopt.wav","non_optimised",-0.134,0.056,0.166666666666667,0.5,0.624234782629444,3
"Neutral control","neutral","B06_run0_opt.wav","optimised",-0.134,0.056,0.166666666666667,0.166666666666667,0.354824012427472,3
"Neutral control","neutral","B06_run1_nonopt.wav","non_optimised",-0.134,0.056,0.166666666666667,0.166666666666667,0.354824012427472,3
"Neutral control","neutral","B06_run1_opt.wav","optimised",-0.134,0.056,0,0,0.145230850717057,3
"Neutral control","neutral","B06_run2_nonopt.wav","non_optimised",-0.134,0.056,0.833333333333333,1,1.36271214675198,3
"Neutral control","neutral","B06_run2_opt.wav","optimised",-0.134,0.056,0,0,0.145230850717057,3
"Neutral control","neutral","B07_run0_nonopt.wav","non_optimised",-0.08,0.099,0.333333333333333,1,1.01587582101032,3
"Neutral control","neutral","B07_run0_opt.wav","optimised",-0.08,0.099,0.833333333333333,1,1.29483736161104,3
"Neutral control","neutral","B07_run1_nonopt.wav","non_optimised",-0.08,0.099,1,1,1.40648533586383,3
"Neutral control","neutral","B07_run1_opt.wav","optimised",-0.08,0.099,1,1,1.40648533586383,3
"Neutral control","neutral","B07_run2_nonopt.wav","non_optimised",-0.08,0.099,0.833333333333333,1,1.29483736161104,3
"Neutral control","neutral","B07_run2_opt.wav","optimised",-0.08,0.099,1,1,1.40648533586383,3
"Neutral control","neutral","B08_run0_nonopt.wav","non_optimised",-0.116,0.074,0.833333333333333,1,1.33749078749349,3
"Neutral control","neutral","B08_run0_opt.wav","optimised",-0.116,0.074,0.833333333333333,1,1.33749078749349,3
"Neutral control","neutral","B08_run1_nonopt.wav","non_optimised",-0.116,0.074,0.5,0.666666666666667,0.870027440361696,3
"Neutral control","neutral","B08_run1_opt.wav","optimised",-0.116,0.074,0.666666666666667,0.666666666666667,0.982685610734263,3
"Neutral control","neutral","B08_run2_nonopt.wav","non_optimised",-0.116,0.074,0.833333333333333,1,1.33749078749349,3
"Neutral control","neutral","B08_run2_opt.wav","optimised",-0.116,0.074,0.833333333333333,0.833333333333333,1.21641728430016,3
"Neutral control","neutral","B09_run0_nonopt.wav","non_optimised",-0.098,-0.191,0.666666666666667,0.666666666666667,1.14918749353473,3
"Neutral control","neutral","B09_run0_opt.wav","optimised",-0.098,-0.191,0,0,0.214674171711457,3
"Neutral control","neutral","B09_run1_nonopt.wav","non_optimised",-0.098,-0.191,1,1,1.61990277486027,3
"Neutral control","neutral","B09_run1_opt.wav","optimised",-0.098,-0.191,0.666666666666667,1,1.42843318527643,3
"Neutral control","neutral","B09_run2_nonopt.wav","non_optimised",-0.098,-0.191,0.666666666666667,0.666666666666667,1.14918749353473,3
"Neutral control","neutral","B09_run2_opt.wav","optimised",-0.098,-0.191,0.5,0.5,0.913829852871967,3
"Neutral control","neutral","B10_run0_nonopt.wav","non_optimised",-0.134,-0.122,0.833333333333333,0.833333333333333,1.35955919396627,3
"Neutral control","neutral","B10_run0_opt.wav","optimised",-0.134,-0.122,1,1,1.59525546543493,3
"Neutral control","neutral","B10_run1_nonopt.wav","non_optimised",-0.134,-0.122,0.833333333333333,0.833333333333333,1.35955919396627,3
"Neutral control","neutral","B10_run1_opt.wav","optimised",-0.134,-0.122,0.666666666666667,0.666666666666667,1.12386292249762,3
"Neutral control","neutral","B10_run2_nonopt.wav","non_optimised",-0.134,-0.122,0.833333333333333,0.833333333333333,1.35955919396627,3
"Neutral control","neutral","B10_run2_opt.wav","optimised",-0.134,-0.122,0.833333333333333,0.833333333333333,1.35955919396627,3
"Neutral control","neutral","B11_run0_nonopt.wav","non_optimised",-0.071,-0.261,1,1,1.65443706438172,3
"Neutral control","neutral","B11_run0_opt.wav","optimised",-0.071,-0.261,0,1,1.26299722881723,3
"Neutral control","neutral","B11_run1_nonopt.wav","non_optimised",-0.071,-0.261,1,1,1.65443706438172,3
"Neutral control","neutral","B11_run1_opt.wav","optimised",-0.071,-0.261,0,0.333333333333333,0.601322242960566,3
"Neutral control","neutral","B11_run2_nonopt.wav","non_optimised",-0.071,-0.261,0.666666666666667,1,1.47431571099754,3
"Neutral control","neutral","B11_run2_opt.wav","optimised",-0.071,-0.261,0.833333333333333,1,1.56437638768963,3
"Neutral control","neutral","B12_run0_nonopt.wav","non_optimised",-0.107,-0.208,0.166666666666667,1,1.25912949795114,3
"Neutral control","neutral","B12_run0_opt.wav","optimised",-0.107,-0.208,0.333333333333333,0.833333333333333,1.16574765747557,3
"Neutral control","neutral","B12_run1_nonopt.wav","non_optimised",-0.107,-0.208,0.5,0.833333333333333,1.21214758953001,3
"Neutral control","neutral","B12_run1_opt.wav","optimised",-0.107,-0.208,0.5,1,1.35192936206002,3
"Neutral control","neutral","B12_run2_nonopt.wav","non_optimised",-0.107,-0.208,0.5,0.5,0.932584044469988,3
"Neutral control","neutral","B12_run2_opt.wav","optimised",-0.107,-0.208,0.5,0.5,0.932584044469988,3
"Neutral control","neutral","B13_run0_nonopt.wav","non_optimised",0.075,-0.191,0.333333333333333,1,1.24082479493726,3
"Neutral control","neutral","B13_run0_opt.wav","optimised",0.075,-0.191,0.5,0.833333333333333,1.11345086229355,3
"Neutral control","neutral","B13_run1_nonopt.wav","non_optimised",0.075,-0.191,1,1,1.50801392566514,3
"Neutral control","neutral","B13_run1_opt.wav","optimised",0.075,-0.191,1,1,1.50801392566514,3
"Neutral control","neutral","B13_run2_nonopt.wav","non_optimised",0.075,-0.191,0.833333333333333,0.833333333333333,1.2757550592959,3
"Neutral control","neutral","B13_run2_opt.wav","optimised",0.075,-0.191,1,1,1.50801392566514,3
"Neutral control","neutral","B14_run0_nonopt.wav","non_optimised",0.102,-0.122,0.666666666666667,1,1.27270303362648,3
"Neutral control","neutral","B14_run0_opt.wav","optimised",0.102,-0.122,1,1,1.43711099084239,3
"Neutral control","neutral","B14_run1_nonopt.wav","non_optimised",0.102,-0.122,1,1,1.43711099084239,3
"Neutral control","neutral","B14_run1_opt.wav","optimised",0.102,-0.122,1,1,1.43711099084239,3
"Neutral control","neutral","B14_run2_nonopt.wav","non_optimised",0.102,-0.122,1,1,1.43711099084239,3
"Neutral control","neutral","B14_run2_opt.wav","optimised",0.102,-0.122,1,1,1.43711099084239,3
"Neutral control","neutral","B15_run0_nonopt.wav","non_optimised",0.054,-0.261,0.5,0.5,0.88206405663081,3
"Neutral control","neutral","B15_run0_opt.wav","optimised",0.054,-0.261,0.5,1,1.33754887761158,3
"Neutral control","neutral","B15_run1_nonopt.wav","non_optimised",0.054,-0.261,1,1,1.57640001268714,3
"Neutral control","neutral","B15_run1_opt.wav","optimised",0.054,-0.261,1,1,1.57640001268714,3
"Neutral control","neutral","B15_run2_nonopt.wav","non_optimised",0.054,-0.261,0.333333333333333,0.333333333333333,0.676885261790305,3
"Neutral control","neutral","B15_run2_opt.wav","optimised",0.054,-0.261,1,1,1.57640001268714,3
"Neutral control","neutral","B16_run0_nonopt.wav","non_optimised",0.082,-0.208,1,1,1.51723037143342,3
"Neutral control","neutral","B16_run0_opt.wav","optimised",0.082,-0.208,0.5,0.666666666666667,0.974215062927177,3
"Neutral control","neutral","B16_run1_nonopt.wav","non_optimised",0.082,-0.208,0.833333333333333,0.833333333333333,1.28554854563814,3
"Neutral control","neutral","B16_run1_opt.wav","optimised",0.082,-0.208,1,1,1.51723037143342,3
"Neutral control","neutral","B16_run2_nonopt.wav","non_optimised",0.082,-0.208,0.833333333333333,0.833333333333333,1.28554854563814,3
"Neutral control","neutral","B16_run2_opt.wav","optimised",0.082,-0.208,1,1,1.51723037143342,3
"OCEAN audience","P01","B01_run0_nonopt.wav","non_optimised",0.075,0.08,0.5,1,1.01342241932967,3
"OCEAN audience","P01","B01_run0_opt.wav","optimised",0.075,0.08,1,1,1.30461680197673,3
"OCEAN audience","P01","B01_run1_nonopt.wav","non_optimised",0.075,0.08,0.5,1,1.01342241932967,3
"OCEAN audience","P01","B01_run1_opt.wav","optimised",0.075,0.08,0.5,0.666666666666667,0.736151266556929,3
"OCEAN audience","P01","B01_run2_nonopt.wav","non_optimised",0.075,0.08,0.5,1,1.01342241932967,3
"OCEAN audience","P01","B01_run2_opt.wav","optimised",0.075,0.08,1,1,1.30461680197673,3
"OCEAN audience","P01","B02_run0_nonopt.wav","non_optimised",0.102,0.056,0.5,0.5,0.596271750127406,3
"OCEAN audience","P01","B02_run0_opt.wav","optimised",0.102,0.056,1,1,1.30289677258024,3
"OCEAN audience","P01","B02_run1_nonopt.wav","non_optimised",0.102,0.056,0.5,0.666666666666667,0.739004698415073,3
"OCEAN audience","P01","B02_run1_opt.wav","optimised",0.102,0.056,1,1,1.30289677258024,3
"OCEAN audience","P01","B02_run2_nonopt.wav","non_optimised",0.102,0.056,0.5,0.5,0.596271750127406,3
"OCEAN audience","P01","B02_run2_opt.wav","optimised",0.102,0.056,1,1,1.30289677258024,3
"OCEAN audience","P01","B03_run0_nonopt.wav","non_optimised",0.061,0.099,0.166666666666667,0.166666666666667,0.275715143408296,3
"OCEAN audience","P01","B03_run0_opt.wav","optimised",0.061,0.099,0,0,0.116284134773408,3
"OCEAN audience","P01","B03_run1_nonopt.wav","non_optimised",0.061,0.099,0,0,0.116284134773408,3
"OCEAN audience","P01","B03_run1_opt.wav","optimised",0.061,0.099,0.5,0.5,0.594577160678074,3
"OCEAN audience","P01","B03_run2_nonopt.wav","non_optimised",0.061,0.099,0,0,0.116284134773408,3
"OCEAN audience","P01","B03_run2_opt.wav","optimised",0.061,0.099,0.333333333333333,0.333333333333333,0.435146152043185,3
"OCEAN audience","P01","B04_run0_nonopt.wav","non_optimised",0.089,0.074,1,1,1.29899846035321,3
"OCEAN audience","P01","B04_run0_opt.wav","optimised",0.089,0.074,1,1,1.29899846035321,3
"OCEAN audience","P01","B04_run1_nonopt.wav","non_optimised",0.089,0.074,0.5,0.833333333333333,0.872722823664735,3
"OCEAN audience","P01","B04_run1_opt.wav","optimised",0.089,0.074,0.833333333333333,1,1.20370315049161,3
"OCEAN audience","P01","B04_run2_nonopt.wav","non_optimised",0.089,0.074,0.5,0.833333333333333,0.872722823664735,3
"OCEAN audience","P01","B04_run2_opt.wav","optimised",0.089,0.074,1,1,1.29899846035321,3
"OCEAN audience","P01","B05_run0_nonopt.wav","non_optimised",-0.098,0.08,0.5,0.5,0.730755773155437,3
"OCEAN audience","P01","B05_run0_opt.wav","optimised",-0.098,0.08,0.5,0.5,0.730755773155437,3
"OCEAN audience","P01","B05_run1_nonopt.wav","non_optimised",-0.098,0.08,0.5,1,1.09727116065264,3
"OCEAN audience","P01","B05_run1_opt.wav","optimised",-0.098,0.08,0.166666666666667,0.833333333333333,0.860388485840886,3
"OCEAN audience","P01","B05_run2_nonopt.wav","non_optimised",-0.098,0.08,0.5,0.5,0.730755773155437,3
"OCEAN audience","P01","B05_run2_opt.wav","optimised",-0.098,0.08,0.5,0.5,0.730755773155437,3
"OCEAN audience","P01","B06_run0_nonopt.wav","non_optimised",-0.134,0.056,0,0.333333333333333,0.357597030449453,3
"OCEAN audience","P01","B06_run0_opt.wav","optimised",-0.134,0.056,0,0.166666666666667,0.251413940583255,3
"OCEAN audience","P01","B06_run1_nonopt.wav","non_optimised",-0.134,0.056,0,0.166666666666667,0.251413940583255,3
"OCEAN audience","P01","B06_run1_opt.wav","optimised",-0.134,0.056,0,0,0.145230850717057,3
"OCEAN audience","P01","B06_run2_nonopt.wav","non_optimised",-0.134,0.056,0.5,0.666666666666667,0.895054234427602,3
"OCEAN audience","P01","B06_run2_opt.wav","optimised",-0.134,0.056,0,0,0.145230850717057,3
"OCEAN audience","P01","B07_run0_nonopt.wav","non_optimised",-0.08,0.099,0.333333333333333,0.666666666666667,0.771598086704596,3
"OCEAN audience","P01","B07_run0_opt.wav","optimised",-0.08,0.099,0.666666666666667,0.666666666666667,0.938911653052508,3
"OCEAN audience","P01","B07_run1_nonopt.wav","non_optimised",-0.08,0.099,0.5,0.666666666666667,0.82726367879971,3
"OCEAN audience","P01","B07_run1_opt.wav","optimised",-0.08,0.099,0.5,0.666666666666667,0.82726367879971,3
"OCEAN audience","P01","B07_run2_nonopt.wav","non_optimised",-0.08,0.099,0.5,1,1.07154141310544,3
"OCEAN audience","P01","B07_run2_opt.wav","optimised",-0.08,0.099,1,1,1.40648533586383,3
"OCEAN audience","P01","B08_run0_nonopt.wav","non_optimised",-0.116,0.074,0.5,0.5,0.748953937168368,3
"OCEAN audience","P01","B08_run0_opt.wav","optimised",-0.116,0.074,0.5,0.5,0.748953937168368,3
"OCEAN audience","P01","B08_run1_nonopt.wav","non_optimised",-0.116,0.074,0.5,0.5,0.748953937168368,3
"OCEAN audience","P01","B08_run1_opt.wav","optimised",-0.116,0.074,0.5,0.5,0.748953937168368,3
"OCEAN audience","P01","B08_run2_nonopt.wav","non_optimised",-0.116,0.074,0.5,0.5,0.748953937168368,3
"OCEAN audience","P01","B08_run2_opt.wav","optimised",-0.116,0.074,0.5,0.5,0.748953937168368,3
"OCEAN audience","P01","B09_run0_nonopt.wav","non_optimised",-0.098,-0.191,0.5,0.5,0.913829852871967,3
"OCEAN audience","P01","B09_run0_opt.wav","optimised",-0.098,-0.191,0.166666666666667,0.166666666666667,0.447726065431627,3
"OCEAN audience","P01","B09_run1_nonopt.wav","non_optimised",-0.098,-0.191,0.5,0.833333333333333,1.19307554461366,3
"OCEAN audience","P01","B09_run1_opt.wav","optimised",-0.098,-0.191,0.666666666666667,1,1.42843318527643,3
"OCEAN audience","P01","B09_run2_nonopt.wav","non_optimised",-0.098,-0.191,0.5,0.5,0.913829852871967,3
"OCEAN audience","P01","B09_run2_opt.wav","optimised",-0.098,-0.191,0.5,0.5,0.913829852871967,3
"OCEAN audience","P01","B10_run0_nonopt.wav","non_optimised",-0.134,-0.122,0.5,0.5,0.888166651028961,3
"OCEAN audience","P01","B10_run0_opt.wav","optimised",-0.134,-0.122,0.5,0.5,0.888166651028961,3
"OCEAN audience","P01","B10_run1_nonopt.wav","non_optimised",-0.134,-0.122,0.5,0.5,0.888166651028961,3
